"","IND_costdiff_secondlast_lstransaction","Z_totalcount","IND_car_age_last3coverage","IND_0_25_percentile_shopping_pt_state","IND_25_50_percentile_shopping_pt_state","IND_50_75_percentile_shopping_pt_state","Ind_D_equalto_most_popular_D_in_state_switch_likelihood","Ind_duration_previous_last_secondlast_different","A","D","E","G","y","Z_time_diff_last_secondlast","IND_time_12_18","Ind_A_same_first_to_last_switch_likelihood","Ind_B_same_first_to_last_switch_likelihood","Z_cost_positivecount","homeowner","Ind_G_same_first_to_last_switch_likelihood","Ind_C_equalto_most_popular_C_in_state_switch_likelihood"
"1",0,2,0,0,0,0,1,0,1,2,1,1,0,300,1,0,0,1,0,0,0
"2",0,3,0,0,0,1,1,0,0,2,0,1,1,120,0,0,0,0,0,0,1
"3",1,2,0,1,0,0,1,0,1,2,1,3,0,240,1,0,0,1,1,0,0
"4",0,2,0,1,0,0,1,0,1,1,0,2,0,480,1,1,0,1,0,0,1
"5",0,5,0,0,0,0,0,0,2,3,1,3,1,180,1,1,1,2,0,1,0
"6",0,1,0,0,0,1,1,0,2,3,0,3,1,60,0,0,0,1,0,1,0
"7",1,1,0,1,0,0,0,0,1,3,1,3,0,60,0,0,1,1,1,1,0
"8",0,4,0,0,1,0,0,0,2,3,0,3,1,60,0,1,0,2,1,0,0
"9",0,4,0,0,1,0,1,0,1,1,0,2,1,420,1,1,0,4,1,0,0
"10",0,4,0,0,1,0,1,0,2,3,0,2,0,120,0,0,1,2,1,1,0
"11",0,3,0,0,0,0,0,0,0,3,0,3,1,1080,1,1,0,1,1,0,0
"12",0,3,0,0,1,0,1,0,1,1,1,2,0,60,1,0,0,2,0,0,1
"13",0,6,0,0,0,0,0,0,1,3,1,3,0,0,1,0,0,4,1,0,0
"14",1,2,0,1,0,0,0,0,1,3,1,1,0,60,0,0,1,1,1,1,0
"15",0,3,0,0,0,1,1,0,0,1,0,3,0,60,0,1,0,1,1,0,1
"16",0,1,0,1,0,0,0,0,1,3,1,3,0,60,0,0,0,1,0,0,0
"17",1,3,0,0,1,0,0,0,1,3,0,2,0,60,0,0,0,2,1,0,0
"18",0,4,0,0,0,1,0,0,1,3,1,3,0,120,1,0,0,2,1,0,1
"19",0,2,0,0,0,0,1,0,0,1,0,3,0,240,1,1,0,1,1,0,0
"20",0,4,0,0,0,0,1,0,0,1,0,2,0,60,1,1,0,1,0,0,0
"21",0,2,0,0,0,1,0,0,2,3,1,3,0,60,1,0,0,1,1,0,0
